subID,itemID,trialID,"HL (1= low, 2=high)",acc
1,25,1,1,1
1,5,2,1,0
1,64,3,2,1
1,96,4,2,0
1,52,5,1,0
1,42,6,1,1
1,83,7,1,0
1,66,8,1,1
1,79,9,2,1
1,22,10,2,1
1,36,11,1,0
1,14,12,2,1
1,2,13,1,0
1,59,14,1,0
1,54,15,2,1
1,26,16,1,0
1,44,17,1,0
1,94,18,2,0
1,85,19,1,1
1,72,20,2,1
1,13,21,1,0
1,17,22,1,0
1,34,23,1,0
1,76,24,1,0
1,3,25,1,0
1,81,26,1,0
1,55,27,2,1
1,58,28,1,0
1,95,29,2,1
1,32,30,2,1
1,47,31,2,1
1,18,32,1,0
1,77,33,1,0
1,67,34,1,0
1,38,35,2,1
1,10,36,1,0
1,8,37,2,1
1,27,38,1,0
1,68,39,1,0
1,92,40,1,0
1,49,41,1,0
1,48,42,2,1
1,61,43,1,0
1,84,44,1,0
1,12,45,1,0
1,80,46,2,1
1,33,47,1,0
1,21,48,1,0
1,57,49,1,0
1,30,50,2,1
1,4,51,1,0
1,53,52,1,0
1,46,53,2,1
1,93,54,1,0
1,87,55,2,1
1,74,56,1,0
1,70,57,2,1
1,20,58,1,0
1,40,59,2,1
1,56,60,2,1
1,1,61,1,0
1,31,62,2,1
1,62,63,2,0
1,15,64,2,1
1,91,65,1,0
1,88,66,2,0
1,43,67,1,0
1,37,68,1,1
1,23,69,2,1
1,75,70,1,0
1,69,71,1,0
1,16,72,2,1
1,51,73,1,0
1,28,74,1,0
1,60,75,1,0
1,90,76,1,0
1,6,77,2,1
1,45,78,1,0
1,71,79,2,1
1,86,80,2,0
1,78,81,2,1
1,39,82,2,1
1,19,83,1,1
1,9,84,1,0
1,7,85,2,1
1,29,86,1,0
1,63,87,2,1
1,50,88,1,0
1,89,89,1,0
1,41,90,1,1
1,82,91,1,0
1,73,92,1,0
1,65,93,1,0
1,11,94,1,0
1,24,95,2,1
1,35,96,1,0
2,25,1,1,0
2,5,2,1,1
2,64,3,2,1
2,96,4,2,1
2,52,5,1,0
2,42,6,1,0
2,83,7,1,0
2,66,8,1,0
2,79,9,2,1
2,22,10,2,1
2,36,11,1,0
2,14,12,2,1
2,2,13,1,0
2,59,14,1,0
2,54,15,2,1
2,26,16,1,0
2,44,17,1,0
2,94,18,2,1
2,85,19,1,1
2,72,20,2,1
2,13,21,1,0
2,17,22,1,0
2,34,23,1,0
2,76,24,1,0
2,3,25,1,0
2,81,26,1,0
2,55,27,2,1
2,58,28,1,0
2,95,29,2,1
2,32,30,2,1
2,47,31,2,1
2,18,32,1,0
2,77,33,1,0
2,67,34,1,0
2,38,35,2,1
2,10,36,1,0
2,8,37,2,1
2,27,38,1,0
2,68,39,1,0
2,92,40,1,0
2,49,41,1,0
2,48,42,2,1
2,61,43,1,1
2,84,44,1,1
2,12,45,1,0
2,80,46,2,1
2,33,47,1,1
2,21,48,1,0
2,57,49,1,0
2,30,50,2,1
2,4,51,1,0
2,53,52,1,0
2,46,53,2,1
2,93,54,1,0
2,87,55,2,1
2,74,56,1,0
2,70,57,2,1
2,20,58,1,1
2,40,59,2,1
2,56,60,2,1
2,1,61,1,0
2,31,62,2,1
2,62,63,2,1
2,15,64,2,1
2,91,65,1,0
2,88,66,2,1
2,43,67,1,0
2,37,68,1,0
2,23,69,2,1
2,75,70,1,0
2,69,71,1,0
2,16,72,2,1
2,51,73,1,0
2,28,74,1,0
2,60,75,1,0
2,90,76,1,0
2,6,77,2,1
2,45,78,1,1
2,71,79,2,1
2,86,80,2,1
2,78,81,2,1
2,39,82,2,1
2,19,83,1,0
2,9,84,1,0
2,7,85,2,1
2,29,86,1,0
2,63,87,2,1
2,50,88,1,0
2,89,89,1,0
2,41,90,1,0
2,82,91,1,0
2,73,92,1,0
2,65,93,1,0
2,11,94,1,0
2,24,95,2,1
2,35,96,1,0
3,25,1,1,0
3,5,2,1,1
3,64,3,2,1
3,96,4,2,1
3,52,5,1,1
3,42,6,1,0
3,83,7,1,0
3,66,8,1,1
3,79,9,2,1
3,22,10,2,1
3,36,11,1,0
3,14,12,2,1
3,2,13,1,0
3,59,14,1,0
3,54,15,2,1
3,26,16,1,0
3,44,17,1,1
3,94,18,2,1
3,85,19,1,1
3,72,20,2,1
3,13,21,1,0
3,17,22,1,0
3,34,23,1,0
3,76,24,1,0
3,3,25,1,1
3,81,26,1,0
3,55,27,2,1
3,58,28,1,0
3,95,29,2,1
3,32,30,2,1
3,47,31,2,1
3,18,32,1,0
3,77,33,1,0
3,67,34,1,0
3,38,35,2,1
3,10,36,1,0
3,8,37,2,1
3,27,38,1,0
3,68,39,1,0
3,92,40,1,0
3,49,41,1,0
3,48,42,2,1
3,61,43,1,0
3,84,44,1,1
3,12,45,1,0
3,80,46,2,1
3,33,47,1,0
3,21,48,1,0
3,57,49,1,0
3,30,50,2,1
3,4,51,1,1
3,53,52,1,0
3,46,53,2,1
3,93,54,1,0
3,87,55,2,1
3,74,56,1,0
3,70,57,2,1
3,20,58,1,0
3,40,59,2,1
3,56,60,2,1
3,1,61,1,0
3,31,62,2,1
3,62,63,2,1
3,15,64,2,0
3,91,65,1,0
3,88,66,2,1
3,43,67,1,0
3,37,68,1,0
3,23,69,2,1
3,75,70,1,0
3,69,71,1,0
3,16,72,2,1
3,51,73,1,0
3,28,74,1,0
