subID,Block,acc
1,1,0
1,2,0
1,3,0
1,4,0
1,5,1
1,6,0
1,7,0
1,8,1
1,9,0
1,10,0
1,11,0
1,12,0
2,1,0
2,2,1
2,3,0
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,0
2,11,1
2,12,1
3,1,0
3,2,1
3,3,0
3,4,1
3,5,1
3,6,1
3,7,0
3,8,0
3,9,1
3,10,0
3,11,0
3,12,0
4,1,1
4,2,1
4,3,0
4,4,1
4,5,1
4,6,1
4,7,0
4,8,1
4,9,1
4,10,0
4,11,0
4,12,0
5,1,0
5,2,0
5,3,0
5,4,1
5,5,1
5,6,1
5,7,0
5,8,0
5,9,0
5,10,0
5,11,0
5,12,0
6,1,0
6,2,0
6,3,0
6,4,1
6,5,1
6,6,1
6,7,1
6,8,1
6,9,1
6,10,0
6,11,1
6,12,0
7,1,0
7,2,0
7,3,0
7,4,0
7,5,1
7,6,0
7,7,0
7,8,1
7,9,1
7,10,0
7,11,1
7,12,0
8,1,0
8,2,0
8,3,0
8,4,0
8,5,1
8,6,1
8,7,0
8,8,1
8,9,1
8,10,0
8,11,1
8,12,0
9,1,1
9,2,0
9,3,0
9,4,0
9,5,0
9,6,0
9,7,1
9,8,1
9,9,1
9,10,0
9,11,1
9,12,0
10,1,0
10,2,1
10,3,0
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,0
10,11,1
10,12,1
11,1,0
11,2,1
11,3,0
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,0
11,11,1
11,12,0
12,1,0
12,2,1
12,3,0
12,4,1
12,5,1
12,6,1
12,7,0
12,8,1
12,9,1
12,10,0
12,11,1
12,12,0
13,1,0
13,2,0
13,3,0
13,4,0
13,5,1
13,6,1
13,7,0
13,8,1
13,9,0
13,10,0
13,11,0
13,12,0
14,1,0
14,2,0
14,3,0
14,4,0
14,5,1
14,6,0
14,7,1
14,8,0
14,9,1
14,10,0
14,11,0
14,12,0
15,1,0
15,2,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,0
15,11,1
15,12,0
16,1,0
16,2,1
16,3,0
16,4,1
16,5,1
16,6,0
16,7,1
16,8,1
16,9,1
16,10,0
16,11,0
16,12,0
17,1,0
17,2,1
17,3,0
17,4,0
17,5,1
17,6,0
17,7,0
17,8,1
17,9,1
17,10,1
17,11,0
17,12,1
18,1,0
18,2,0
18,3,0
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,0
18,11,1
18,12,1
19,1,0
19,2,0
19,3,0
19,4,1
19,5,1
19,6,1
19,7,1
19,8,1
19,9,1
19,10,0
19,11,1
19,12,0
20,1,1
20,2,0
20,3,0
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,9,0
20,10,0
20,11,0
20,12,0
21,1,1
21,2,1
21,3,0
21,4,1
21,5,1
21,6,0
21,7,1
21,8,1
21,9,1
21,10,0
21,11,1
21,12,0
